date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:39	50/50	---MCZ	200	added ('OK')	text/plain	etag:W/%229c8fc4effbcb3e18dccebce24b318bee%22	https://gardendowntown.com/robots.txt		(from )
12:15:40	69803/69803	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Aug%202025%2006:45:39%20GMT	https://gardendowntown.com/	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/index.html	(from )
12:15:40	9150/9150	---M--	200	added ('OK')	image/png	etag:%2223be-60a87c4730940%22	https://gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons/apple-touch-icon.png	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons/apple-touch-icon.png	(from https://gardendowntown.com/)
12:15:40	1488/1488	---M--	200	added ('OK')	image/png	etag:%225d0-60a87c4730940%22	https://gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons//favicon-32x32.png	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons/favicon-32x32.png	(from https://gardendowntown.com/)
12:15:41	728/728	---M--	200	added ('OK')	image/png	etag:%222d8-60a87c4730940%22	https://gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons//favicon-16x16.png	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons/favicon-16x16.png	(from https://gardendowntown.com/)
12:15:41	157/157	---M--	200	added ('OK')	text/html	etag:%229d-60a87c4730940%22	https://gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons//site.webmanifest	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons/site.html	(from https://gardendowntown.com/)
12:15:42	7269/7269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221c65-60a87c4730940%22	https://gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons//safari-pinned-tab.svg	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/wp-content/themes/Hotel-Garden-Downtown-Theme/img/favicons/safari-pinned-tab.svg	(from https://gardendowntown.com/)
12:15:42	116156/116156	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://gardendowntown.com/wp-includes/css/dist/block-library/A.style.min.css,qver=6.8.2.pagespeed.cf.6w6iIy5A4f.css	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/wp-includes/css/dist/block-library/A.style.min.css,qver=6.8.2.pagespeed.cf.6w6iIy5A4f.css	(from https://gardendowntown.com/)
12:15:43	71090/71090	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Aug%202025%2006:45:43%20GMT	https://gardendowntown.com/sq/ballina/	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/sq/ballina/index.html	(from https://gardendowntown.com/)
12:15:43	2473/2473	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://gardendowntown.com/wp-content/plugins/contact-form-7/includes/css/A.styles.css,qver=6.1.pagespeed.cf.bY4dTi-wnh.css	C:/Users/patel/OneDrive/Desktop/final%20try/gardendowntown.com/wp-content/plugins/contact-form-7/includes/css/A.styles.css,qver=6.1.pagespeed.cf.bY4dTi-wnh.css	(from https://gardendowntown.com/)
